,countriesAndTerritories,Confirmed Covid-19 cases,Confirmed Covid-19 deaths,case fatality rate (in %)
4,Isle_of_Man,370,25,6.76
13,Guernsey,289,13,4.5
19,Italy,1843712,64520,3.5
21,United_Kingdom,1849403,64170,3.47
24,Bosnia_and_Herzegovina,101117,3336,3.3
27,Bulgaria,179449,5688,3.17
31,Belgium,608001,17951,2.95
33,Greece,124534,3625,2.91
34,North_Macedonia,73638,2121,2.88
37,Ireland,76185,2124,2.79
39,Spain,1730575,47624,2.75
48,San_Marino,1947,51,2.62
51,Kosovo,46580,1198,2.57
52,Hungary,283870,7130,2.51
56,France,2376852,57911,2.44
57,Romania,556335,13385,2.41
59,Sweden,320098,7514,2.35
70,Albania,48530,1003,2.07
73,Moldova,126518,2572,2.03
75,Poland,1135676,22864,2.01
86,Jersey,1779,32,1.8
89,Russia,2653928,46941,1.77
95,Ukraine,900666,15247,1.69
98,Armenia,148682,2503,1.68
102,Czechia,581079,9609,1.65
103,Germany,1337078,21975,1.64
105,Netherlands,612746,10034,1.64
108,Turkey,995471,16199,1.63
109,Portugal,348744,5559,1.59
112,Slovenia,96314,1459,1.51
113,Croatia,175886,2640,1.5
114,Malta,11101,166,1.5
115,Finland,30810,453,1.47
120,Switzerland,372329,5378,1.44
127,Montenegro,41426,582,1.4
128,Austria,320036,4400,1.37
130,Latvia,25675,349,1.36
137,Liechtenstein,1514,18,1.19
142,Azerbaijan,175874,1922,1.09
143,Andorra,7338,79,1.08
148,Norway,40022,387,0.97
149,Georgia,191063,1839,0.96
150,Luxembourg,41272,396,0.96
155,Slovakia,132984,1175,0.88
156,Serbia,266432,2331,0.87
157,Lithuania,95021,825,0.87
159,Denmark,109758,941,0.86
163,Estonia,18055,149,0.83
167,Belarus,160295,1263,0.79
178,Cyprus,15101,78,0.52
179,Iceland,5557,28,0.5
181,Gibraltar,1075,5,0.47
187,Monaco,668,2,0.3
193,Holy_See,26,0,0
209,Faroe_Islands,528,0,0